TIME,JOGADOR,CLASSIFICACAO,ATLETA_ID
Athletico-PR,ALEJANDRO GARCÍA,MEIA,128427
Athletico-PR,DANTAS,VOLANTE,123445
Athletico-PR,DUDU,MEIA,125746
Athletico-PR,FELIPE CHIQUETI,MEIA,127970
Athletico-PR,FELIPINHO,MEIA,112017
Athletico-PR,JADSON,VOLANTE,80129
Athletico-PR,JOÃO CRUZ,VOLANTE,128431
Athletico-PR,LUIZ GUSTAVO,VOLANTE,71536
Athletico-PR,PORTILLA,VOLANTE,131832
Athletico-PR,RIQUELME,VOLANTE,130906
Athletico-PR,ZAPELLI,MEIA,125926
Atlético-MG,ALAN FRANCO,VOLANTE,39656
Atlético-MG,ALEXSANDER,VOLANTE,118774
Atlético-MG,BERNARD,MEIA,72460
Atlético-MG,CISSÉ,MEIA,147088
Atlético-MG,GUSTAVO SCARPA,MEIA,87999
Atlético-MG,GUTTE,MEIA,151440
Atlético-MG,IGOR GOMES,MEIA,100084
Atlético-MG,MAYCON,VOLANTE,94154
Atlético-MG,PATRICK,VOLANTE,122990
Atlético-MG,REINIER,MEIA,105068
Atlético-MG,TOMÁS PÉREZ,VOLANTE,126189
Atlético-MG,VICTOR HUGO,MEIA,116034
Atlético-MG,ÍNDIO,MEIA,141551
Bahia,ACEVEDO,VOLANTE,104783
Bahia,CAIO ALEXANDRE,VOLANTE,106323
Bahia,DAVID MARTINS,MEIA,140726
Bahia,ERICK,VOLANTE,98022
Bahia,EVERTON RIBEIRO,MEIA,51772
Bahia,JEAN LUCAS,VOLANTE,98517
Bahia,MICHEL ARAÚJO,MEIA,107173
Bahia,RODRIGO NESTOR,MEIA,106822
Bahia,SIDNEY,VOLANTE,123005
Bahia,WENDEL,VOLANTE,129661
Botafogo,ALLAN,VOLANTE,69140
Botafogo,ARTHUR NOVAES,MEIA,147782
Botafogo,BARRERA,MEIA,142484
Botafogo,CAIO VALLE,MEIA,141752
Botafogo,DANILO,VOLANTE,107231
Botafogo,DOMINGOS ANDRADE,VOLANTE,144976
Botafogo,EDENÍLSON,VOLANTE,63289
Botafogo,HUGUINHO,VOLANTE,141400
Botafogo,MARQUINHOS,VOLANTE,146410
Botafogo,MEDINA,MEIA,109987
Botafogo,MONTORO,MEIA,142890
Botafogo,SANTI RODRÍGUEZ,MEIA,105214
Botafogo,VICTOR HUGO,VOLANTE,151405
