atleta_id|nome|clube|posicao_especifica|categoria
102561|Mastriani|Athlético-PR|Centre-Forward|Atacante de área
105518|Renan Peixoto|Athlético-PR|Centre-Forward|Atacante de área
115266|Renan Viana|Athlético-PR|Centre-Forward|Atacante de área
143193|Viveros|Athlético-PR|Centre-Forward|Atacante de área
123101|Leozinho|Athlético-PR|Right Winger|Ponta direita
122439|Isaac|Athlético-PR|Left Winger|Ponta esquerda
102796|Julimar|Athlético-PR|Left Winger|Ponta esquerda
90031|Mendoza|Athlético-PR|Left Winger|Ponta esquerda
95362|Cassierra|Atlético-MG|Centre-Forward|Atacante de área
39148|Hulk|Atlético-MG|Centre-Forward|Atacante de área
101002|Júnior Santos|Atlético-MG|Right Winger|Ponta direita
98909|Cuello|Atlético-MG|Left Winger|Ponta esquerda
68920|Dudu|Atlético-MG|Left Winger|Ponta esquerda
114040|Minda|Atlético-MG|Left Winger|Ponta esquerda
78117|Everaldo|Bahia|Centre-Forward|Atacante de área
145379|Kauê Furquim|Bahia|Centre-Forward|Atacante de área
136955|Sanabria|Bahia|Centre-Forward|Atacante de área
68996|Willian José|Bahia|Centre-Forward|Atacante de área
101314|Ademir|Bahia|Right Winger|Ponta direita
113397|Cristian Olivera|Bahia|Right Winger|Ponta direita
142265|Dell|Bahia|Left Winger|Ponta esquerda
109401|Erick Pulga|Bahia|Left Winger|Ponta esquerda
129663|Ruan Pablo|Bahia|Left Winger|Ponta esquerda
92171|Arthur Cabral|Botafogo|Centre-Forward|Atacante de área
147788|Arthur Izaque|Botafogo|Centre-Forward|Atacante de área
103179|Chris Ramos|Botafogo|Centre-Forward|Atacante de área
96353|Joaquín Correa|Botafogo|Second Striker|Atacante de área
146375|Kadir|Botafogo|Centre-Forward|Atacante de área
95799|Artur|Botafogo|Right Winger|Ponta direita
142086|Kauan Toledo|Botafogo|Right Winger|Ponta direita
124757|Nathan Fernandes|Botafogo|Right Winger|Ponta direita
107170|Jeffinho|Botafogo|Left Winger|Ponta esquerda
111831|Matheus Martins|Botafogo|Left Winger|Ponta esquerda
142877|Villalba|Botafogo|Left Winger|Ponta esquerda
140906|Davi Gomes|Bragantino|Centre-Forward|Atacante de área
70360|Eduardo Sasha|Bragantino|Centre-Forward|Atacante de área
100695|Fernando|Bragantino|Centre-Forward|Atacante de área
108133|Isidro Pitta|Bragantino|Centre-Forward|Atacante de área
112886|Lucas Barbosa|Bragantino|Right Winger|Ponta direita
124239|Henry Mosquera|Bragantino|Left Winger|Ponta esquerda
123738|Herrera|Bragantino|Left Winger|Ponta esquerda
132580|Vinicinho|Bragantino|Left Winger|Ponta esquerda
86292|Bolasie|Chapecoense|Centre-Forward|Atacante de área
88293|Neto Pessoa|Chapecoense|Centre-Forward|Atacante de área
141812|Palacios|Chapecoense|Centre-Forward|Atacante de área
94286|Perotti|Chapecoense|Centre-Forward|Atacante de área
146894|João Bom|Chapecoense|Right Winger|Ponta direita
95332|Marcinho|Chapecoense|Right Winger|Ponta direita
116066|Rubens|Chapecoense|Right Winger|Ponta direita
123625|Ítalo|Chapecoense|Right Winger|Ponta direita
108131|Garcez|Chapecoense|Left Winger|Ponta esquerda
130619|Mailson|Chapecoense|Left Winger|Ponta esquerda
107516|Ênio|Chapecoense|Left Winger|Ponta esquerda
133543|Gui Negão|Corinthians|Centre-Forward|Atacante de área
85048|Memphis Depay|Corinthians|Second Striker|Atacante de área
98225|Pedro Raul|Corinthians|Centre-Forward|Atacante de área
100652|Yuri Alberto|Corinthians|Centre-Forward|Atacante de área
118844|Kaio César|Corinthians|Right Winger|Ponta direita
121824|Kayke|Corinthians|Left Winger|Ponta esquerda
78435|Vitinho|Corinthians|Left Winger|Ponta esquerda
147429|Brayan|Coritiba|Centre-Forward|Atacante de área
93371|Rodrigo Rodrigues|Coritiba|Centre-Forward|Atacante de área
124834|Ruan Assis|Coritiba|Centre-Forward|Atacante de área
101729|Fabinho|Coritiba|Right Winger|Ponta direita
123648|Lucas Ronier|Coritiba|Right Winger|Ponta direita
93988|Breno Lopes|Coritiba|Left Winger|Ponta esquerda
141165|Enzo Vagner|Coritiba|Left Winger|Ponta esquerda
86485|Keno|Coritiba|Left Winger|Ponta esquerda
117930|Lavega|Coritiba|Left Winger|Ponta esquerda
90302|Pedro Rocha|Coritiba|Left Winger|Ponta esquerda
131279|Thiago Azaf|Coritiba|Left Winger|Ponta esquerda
132264|Arroyo|Cruzeiro|Centre-Forward|Atacante de área
90608|Chico da Costa|Cruzeiro|Centre-Forward|Atacante de área
103445|Kaio Jorge|Cruzeiro|Centre-Forward|Atacante de área
137543|Tevis|Cruzeiro|Centre-Forward|Atacante de área
131967|Villarreal|Cruzeiro|Centre-Forward|Atacante de área
113158|Marquinhos|Cruzeiro|Right Winger|Ponta direita
92811|Bruno Rodrigues|Cruzeiro|Left Winger|Ponta esquerda
